Year,0 h,12 h,24 h,36 h,48 h,72 h,96 h,120 h
1990,2.9,5.6,8.9,11.9,13.6,15,,
1991,2.9,5.7,11.3,16.2,20.4,22.6,,
1992,3.4,6.3,11.2,15.4,19.4,25.9,,
1993,2.7,4.9,8.2,11.1,14.8,19.3,,
1994,2.7,5.8,9.1,11.1,14.6,18.3,,
1995,3,5.9,9.1,11.6,14.2,17.7,,
1996,3.6,6.5,9.9,12.2,14.4,17.3,,
1997,2.8,5.6,9.3,12.3,14.2,15.9,,
1998,3,6.8,10.8,14.1,16.4,21.2,,
1999,2.5,6.6,10.7,13.4,15.7,19.1,,
2000,2.7,6.7,11.1,14.5,16.9,20.1,,
2001,1.2,6,9.9,12.7,15.7,18.8,20.1,19
2002,1.1,5.5,9,11.3,14.5,20.8,22.4,23.8
2003,1.6,5.2,7.9,9.5,11.6,14.8,17,20.6
2004,2,7.4,10.2,12.4,13.9,17,19.8,22.6
2005,1.8,6.9,10.9,13.4,15.6,20.1,20.1,21.8
2006,2.1,6.5,10,12.4,14.3,18.1,19.6,19
2007,2.1,8.1,11,14,17.9,23.5,28.6,30
2008,1.8,7.1,10.4,12.1,13.6,14.6,13.8,17.2
2009,1.6,6.4,11.4,14.9,17.5,20.6,19.5,16.6
2010,2.4,7.7,12,13.9,15.5,16.7,18.4,18.6
2011,2.8,6.3,9.7,12,14.4,16.6,16.2,16.5
2012,2.2,5.4,8,10.2,12.3,13.1,11.8,12.7
2013,1.9,5.3,7.5,9.3,10.4,8,9.1,12.6
2014,2,5.2,8.2,10,10.4,12.5,11.3,6.6
2015,2.2,5,7.4,9.9,11.4,15.6,19.6,20.4
2016,2.2,5.4,7.6,9.4,10.5,11.7,14.7,16.1
2017,2.1,6.1,8.7,11,12.6,13.3,14,14.4
2018,1.6,4.9,7.8,9.2,10.2,13.4,12.8,12.2
2019,1.7,5.2,7.9,9,10.1,13,17.3,25.6
2020,1.7,5.7,8.7,10.2,11.6,10.9,11.9,13.1
2021,1.5,4.8,6.7,7.5,9.4,10.3,11.3,12.1
2022,1.4,4.8,5.8,7.2,7.9,10,16.4,21.2